n,m,fidelity_avg
751,1,0.7705
752,1,0.771
753,1,0.7665
754,1,0.7665
755,1,0.768
756,1,0.77
757,1,0.7685
758,1,0.7645
759,1,0.7665
760,1,0.7615
761,1,0.7635
762,1,0.764
763,1,0.7625
764,1,0.7635
765,1,0.762
766,1,0.7585
767,1,0.757
768,1,0.759
769,1,0.759
770,1,0.7595
771,1,0.7605
772,1,0.762
773,1,0.7625
774,1,0.764
775,1,0.765
776,1,0.764
777,1,0.7645
778,1,0.765
779,1,0.7605
780,1,0.762
781,1,0.7595
782,1,0.7635
783,1,0.7655
784,1,0.7655
785,1,0.7665
786,1,0.7635
787,1,0.7655
788,1,0.7645
789,1,0.7665
790,1,0.764
791,1,0.766
792,1,0.7625
793,1,0.761
794,1,0.7625
795,1,0.7635
796,1,0.766
797,1,0.7625
798,1,0.7655
799,1,0.7625
800,1,0.7605
801,1,0.76
802,1,0.763
803,1,0.7625
804,1,0.7635
805,1,0.764
806,1,0.762
807,1,0.762
808,1,0.7635
809,1,0.7645
810,1,0.7655
811,1,0.7645
812,1,0.7615
813,1,0.7615
814,1,0.764
815,1,0.765
816,1,0.763
817,1,0.7655
818,1,0.7655
819,1,0.766
820,1,0.765
821,1,0.764
822,1,0.766
823,1,0.7645
824,1,0.771
825,1,0.772
826,1,0.7735
827,1,0.7705
828,1,0.77
829,1,0.7705
830,1,0.7685
831,1,0.7715
832,1,0.7715
833,1,0.7725
834,1,0.767
835,1,0.7675
836,1,0.769
837,1,0.7685
838,1,0.7665
839,1,0.77
840,1,0.768
841,1,0.769
842,1,0.7705
843,1,0.7685
844,1,0.769
845,1,0.768
846,1,0.766
847,1,0.7685
848,1,0.767
849,1,0.7695
850,1,0.7695
851,1,0.768
852,1,0.767
853,1,0.767
854,1,0.7675
855,1,0.7645
856,1,0.7675
857,1,0.766
858,1,0.7685
859,1,0.767
860,1,0.7665
861,1,0.768
862,1,0.767
863,1,0.762
864,1,0.761
865,1,0.763
866,1,0.763
867,1,0.7605
868,1,0.7615
869,1,0.7605
870,1,0.759
871,1,0.7585
872,1,0.758
873,1,0.754
874,1,0.7525
875,1,0.7535
876,1,0.756
877,1,0.7555
878,1,0.753
879,1,0.753
880,1,0.753
881,1,0.755
882,1,0.755
883,1,0.757
884,1,0.7555
885,1,0.7575
886,1,0.7545
887,1,0.757
888,1,0.7615
889,1,0.7585
890,1,0.756
891,1,0.7565
892,1,0.758
893,1,0.759
894,1,0.761
895,1,0.7615
896,1,0.763
897,1,0.7635
898,1,0.7615
899,1,0.7605
900,1,0.7615
901,1,0.7625
902,1,0.762
903,1,0.7605
904,1,0.761
905,1,0.7635
906,1,0.7645
907,1,0.762
908,1,0.7615
909,1,0.764
910,1,0.7625
911,1,0.759
912,1,0.761
913,1,0.761
914,1,0.759
915,1,0.76
916,1,0.7585
917,1,0.759
918,1,0.7565
919,1,0.757
920,1,0.7585
921,1,0.7535
922,1,0.7545
923,1,0.7525
924,1,0.753
925,1,0.7555
926,1,0.757
927,1,0.756
928,1,0.755
929,1,0.7565
930,1,0.755
931,1,0.7585
932,1,0.7605
933,1,0.759
934,1,0.757
935,1,0.7615
936,1,0.7585
937,1,0.7585
938,1,0.755
939,1,0.7555
940,1,0.7555
941,1,0.754
942,1,0.755
943,1,0.7545
944,1,0.753
945,1,0.7565
946,1,0.756
947,1,0.753
948,1,0.7545
949,1,0.7565
950,1,0.7575
951,1,0.758
952,1,0.7595
953,1,0.7605
954,1,0.762
955,1,0.761
956,1,0.763
957,1,0.7605
958,1,0.7605
959,1,0.7595
960,1,0.757
961,1,0.757
962,1,0.7575
963,1,0.7545
964,1,0.7555
965,1,0.758
966,1,0.7595
967,1,0.7605
968,1,0.7605
969,1,0.7555
970,1,0.757
971,1,0.76
972,1,0.7585
973,1,0.759
974,1,0.7565
975,1,0.759
976,1,0.76
977,1,0.757
978,1,0.7585
979,1,0.7575
980,1,0.757
981,1,0.7575
982,1,0.76
983,1,0.761
984,1,0.758
985,1,0.7605
986,1,0.7605
987,1,0.76
988,1,0.765
989,1,0.7625
990,1,0.7615
991,1,0.759
992,1,0.7585
993,1,0.759
994,1,0.7595
995,1,0.7595
996,1,0.759
997,1,0.76
998,1,0.7585
999,1,0.7555
1000,1,0.756
1001,1,0.7535
1002,1,0.756
1003,1,0.758
1004,1,0.7605
1005,1,0.759
1006,1,0.763
1007,1,0.7605
1008,1,0.76
1009,1,0.76
1010,1,0.757
1011,1,0.758
1012,1,0.7575
1013,1,0.76
1014,1,0.7585
1015,1,0.7535
1016,1,0.757
1017,1,0.7555
1018,1,0.7565
1019,1,0.7545
1020,1,0.756
1021,1,0.7555
1022,1,0.7575
1023,1,0.7555
1024,1,0.7545
1025,1,0.7525
1026,1,0.7535
1027,1,0.7525
1028,1,0.754
1029,1,0.756
1030,1,0.756
1031,1,0.7555
1032,1,0.756
1033,1,0.756
1034,1,0.757
1035,1,0.757
1036,1,0.7595
1037,1,0.7565
1038,1,0.759
1039,1,0.7565
1040,1,0.757
1041,1,0.758
1042,1,0.7585
1043,1,0.754
1044,1,0.7555
1045,1,0.7585
1046,1,0.7595
1047,1,0.7595
1048,1,0.7585
1049,1,0.7595
1050,1,0.7615
1051,1,0.764
1052,1,0.761
1053,1,0.7575
1054,1,0.754
1055,1,0.756
1056,1,0.757
1057,1,0.759
1058,1,0.7555
1059,1,0.7555
1060,1,0.7555
1061,1,0.76
1062,1,0.758
1063,1,0.7575
1064,1,0.755
1065,1,0.7575
1066,1,0.7565
1067,1,0.7575
1068,1,0.7595
1069,1,0.759
1070,1,0.7585
1071,1,0.76
1072,1,0.763
1073,1,0.7625
1074,1,0.7655
1075,1,0.762
1076,1,0.7615
1077,1,0.768
1078,1,0.766
1079,1,0.767
1080,1,0.766
1081,1,0.7655
1082,1,0.7675
1083,1,0.7685
1084,1,0.767
1085,1,0.764
1086,1,0.764
1087,1,0.7625
1088,1,0.7645
1089,1,0.7605
1090,1,0.76
1091,1,0.76
1092,1,0.7605
1093,1,0.7595
1094,1,0.7575
1095,1,0.759
1096,1,0.7605
1097,1,0.756
1098,1,0.7575
1099,1,0.754
1100,1,0.7555
1101,1,0.7565
1102,1,0.7575
1103,1,0.7585
1104,1,0.76
1105,1,0.7575
1106,1,0.757
1107,1,0.756
1108,1,0.757
1109,1,0.756
1110,1,0.7575
1111,1,0.7565
1112,1,0.756
1113,1,0.756
1114,1,0.7525
1115,1,0.752
1116,1,0.755
1117,1,0.7545
1118,1,0.7525
1119,1,0.754
1120,1,0.756
1121,1,0.752
1122,1,0.7545
1123,1,0.755
1124,1,0.755
1125,1,0.755
1126,1,0.7525
1127,1,0.7515
1128,1,0.7525
1129,1,0.7515
1130,1,0.7575
1131,1,0.7545
1132,1,0.758
1133,1,0.7555
1134,1,0.756
1135,1,0.756
1136,1,0.7555
1137,1,0.755
1138,1,0.7525
1139,1,0.7535
1140,1,0.751
1141,1,0.7505
1142,1,0.751
1143,1,0.7505
1144,1,0.7525
1145,1,0.751
1146,1,0.748
1147,1,0.7495
1148,1,0.753
1149,1,0.7555
1150,1,0.7545
1151,1,0.756
1152,1,0.754
1153,1,0.7525
1154,1,0.7545
1155,1,0.7545
1156,1,0.7535
1157,1,0.755
1158,1,0.755
1159,1,0.7515
1160,1,0.753
1161,1,0.755
1162,1,0.756
1163,1,0.756
1164,1,0.753
1165,1,0.7545
1166,1,0.7545
1167,1,0.7555
1168,1,0.7555
1169,1,0.7565
1170,1,0.7515
1171,1,0.755
1172,1,0.755
1173,1,0.7595
1174,1,0.7585
1175,1,0.7555
1176,1,0.754
1177,1,0.755
1178,1,0.753
1179,1,0.753
1180,1,0.7545
1181,1,0.7535
1182,1,0.7535
1183,1,0.754
1184,1,0.754
1185,1,0.752
1186,1,0.754
1187,1,0.7545
1188,1,0.754
1189,1,0.7535
1190,1,0.751
1191,1,0.7515
1192,1,0.751
1193,1,0.753
1194,1,0.751
1195,1,0.7535
1196,1,0.7555
1197,1,0.755
1198,1,0.7535
1199,1,0.754
1200,1,0.755
1201,1,0.7515
1202,1,0.7515
1203,1,0.754
1204,1,0.754
1205,1,0.756
1206,1,0.758
1207,1,0.756
1208,1,0.758
1209,1,0.7555
1210,1,0.7595
1211,1,0.76
1212,1,0.7595
1213,1,0.7605
1214,1,0.7605
1215,1,0.7615
1216,1,0.7615
1217,1,0.76
1218,1,0.7575
1219,1,0.76
1220,1,0.757
1221,1,0.758
1222,1,0.758
1223,1,0.7575
1224,1,0.7585
1225,1,0.757
1226,1,0.7555
1227,1,0.7595
1228,1,0.759
1229,1,0.756
1230,1,0.758
1231,1,0.757
1232,1,0.7545
1233,1,0.752
1234,1,0.755
1235,1,0.7545
1236,1,0.7535
1237,1,0.756
1238,1,0.7565
1239,1,0.7595
1240,1,0.7585
1241,1,0.756
1242,1,0.754
1243,1,0.7515
1244,1,0.753
1245,1,0.754
1246,1,0.7515
1247,1,0.7525
1248,1,0.7535
1249,1,0.753
1250,1,0.754
1251,1,0.7535
1252,1,0.7525
1253,1,0.752
1254,1,0.752
1255,1,0.7485
1256,1,0.7495
1257,1,0.749
1258,1,0.7495
1259,1,0.751
1260,1,0.7525
1261,1,0.753
1262,1,0.752
1263,1,0.754
1264,1,0.752
1265,1,0.752
1266,1,0.749
1267,1,0.7535
1268,1,0.751
1269,1,0.7505
1270,1,0.7495
1271,1,0.7505
1272,1,0.7515
1273,1,0.7485
1274,1,0.748
1275,1,0.7465
1276,1,0.7505
1277,1,0.754
1278,1,0.75
1279,1,0.7475
1280,1,0.7505
1281,1,0.75
1282,1,0.75
1283,1,0.7495
1284,1,0.749
1285,1,0.751
1286,1,0.751
1287,1,0.752
1288,1,0.7535
1289,1,0.7565
1290,1,0.7545
1291,1,0.754
1292,1,0.7555
1293,1,0.753
1294,1,0.7515
1295,1,0.754
1296,1,0.752
1297,1,0.753
1298,1,0.754
1299,1,0.7525
1300,1,0.7555
1301,1,0.757
1302,1,0.7545
1303,1,0.752
1304,1,0.7525
1305,1,0.753
1306,1,0.755
1307,1,0.754
1308,1,0.753
1309,1,0.753
1310,1,0.753
1311,1,0.7535
1312,1,0.7515
1313,1,0.755
1314,1,0.7585
1315,1,0.757
1316,1,0.755
1317,1,0.757
1318,1,0.759
1319,1,0.7585
1320,1,0.7575
1321,1,0.7605
1322,1,0.761
1323,1,0.761
1324,1,0.7595
1325,1,0.7595
1326,1,0.759
1327,1,0.7585
1328,1,0.7565
1329,1,0.7565
1330,1,0.7575
1331,1,0.759
1332,1,0.7575
1333,1,0.758
1334,1,0.7575
1335,1,0.757
1336,1,0.7555
1337,1,0.7535
1338,1,0.7555
1339,1,0.754
1340,1,0.753
1341,1,0.756
1342,1,0.7585
1343,1,0.7575
1344,1,0.757
1345,1,0.7585
1346,1,0.759
1347,1,0.7595
1348,1,0.7585
1349,1,0.7595
1350,1,0.76
1351,1,0.7575
1352,1,0.7585
1353,1,0.7615
1354,1,0.76
1355,1,0.7625
1356,1,0.762
1357,1,0.758
1358,1,0.7615
1359,1,0.761
1360,1,0.7595
1361,1,0.7625
1362,1,0.762
1363,1,0.7635
1364,1,0.7605
1365,1,0.761
1366,1,0.762
1367,1,0.76
1368,1,0.7575
1369,1,0.7575
1370,1,0.7575
1371,1,0.7585
1372,1,0.7565
1373,1,0.7575
1374,1,0.7565
1375,1,0.761
1376,1,0.7585
1377,1,0.7565
1378,1,0.755
1379,1,0.755
1380,1,0.753
1381,1,0.757
1382,1,0.755
1383,1,0.758
1384,1,0.7565
1385,1,0.7555
1386,1,0.7525
1387,1,0.755
1388,1,0.7545
1389,1,0.7575
1390,1,0.7565
1391,1,0.754
1392,1,0.756
1393,1,0.7585
1394,1,0.757
1395,1,0.7595
1396,1,0.759
1397,1,0.76
1398,1,0.7605
1399,1,0.76
1400,1,0.7605
1401,1,0.761
1402,1,0.7615
1403,1,0.76
1404,1,0.7625
1405,1,0.759
1406,1,0.761
1407,1,0.755
1408,1,0.758
1409,1,0.7595
1410,1,0.7605
1411,1,0.761
1412,1,0.7575
1413,1,0.7595
1414,1,0.76
1415,1,0.759
1416,1,0.759
1417,1,0.7595
1418,1,0.7605
1419,1,0.7605
1420,1,0.7585
1421,1,0.762
1422,1,0.76
1423,1,0.7615
1424,1,0.7625
1425,1,0.7605
1426,1,0.761
